Unnamed: 0,번호,제목,저자,출판사,출판일
,76,Big data: the key to energy efficiency in smart buildings,"Moreno, M. V.; Dufour, L.; Skarmeta, A. F.; Jara, A. J.; Genoud, D.; Ladevie, B.; Bezian, J. J.",Springer Science + Business Media,2016
,77,Data-driven medicinal chemistry in the era of big data,"Lusher, S. J.; McGuire, R.; van Schaik, R. C.; Nicholson, C. D.; de Vlieg, J.","Elsevier Science B.V., Amsterdam.",2014
,78,Big Data. Big Problem?,"Harrop, Clare; Dallman, Aaron R.; Boyd, Brian A.",John Wiley,2021
,79,Data as an Asset: What the Upstream Oil & Gas Industry Can Learn About ``Big Data'' from Companies Like Social Media,"Perrons, R. K.; Jensen, J. W.",Society of Petroleum Engineers,2014
,80,BIG BUCKS ARE BACKING BIG DATA'S LOBBYING EFFORTS ON CAPITOL HILL,"Kaye, Kate","Crain Communications, Inc.",2013
,81,Big data: a distributed storage and processing for online learning systems,"Dahdouh, Karim; Dakkak, Ahmed; Oughdir, Lahcen",Inderscience Enterprises,2019
,82,Big Data: A Challenge for Social Sciences. Criticisms for Social Knowledge and Politics,"Affuso, Olimpia; Coco, Antonella",CEPSR LTD.,2019
,83,“Big Data” In Alzheimer’s Disease Research: An Environmental Scan,"Hong, Y.; Pickering, M.; Perfetto, E.; Albrecht, J.; Ung, B.; Yang, K.; Lederer, H.","Elsevier Science B.V., Amsterdam",2015
,84,'Big data' patentometrics for R&D decision-making,"Verma, Charu; Suri, Pradeep Kumar",Emerald Group Publishing Limited,2021
,85,Data: Big and Small,"Jones-Schenk,  Jan",SLACK INCORPORATED,2017
,86,Big Data: An Introduction for Librarians,"Hoy, Matthew B.",Taylor & Francis,2014
,87,'Big data' in pharmaceutical science: challenges and opportunities,unknown,Future Science,2014
,88,Big Data-Scoring unter dem Einfluss der Datenschutz-Grundverordnung,"Eschholz, S.",Springer Science + Business Media,2017
,89,Big Buildings and Big Data: Do Energy Disclosure Policies Impact Energy Use over Time?,"Papadopoulos,  Sokratis; Kontokosta,  Constantine E.",ASCE,2017
,90,Big data: Little difference,"Morley, S.",Wiley-Blackwell,2015
,91,BIG DATA'S IMPACT ON TRADING AND TEcHNOLOGY,MARCUS KWAN,Institutional Investor,2014
,92,Big Data: A Game Changer for Environmental Management,"Qiu,  Xin; Met,  P.; Taylor,  Nigel",Air and Waste Management Association,2014
,93,Big data–model integration and AI for vector‐borne disease prediction,"Peters, Debra P. C.; McVey, D. Scott; Elias, Emile H.; Pelzel‐McCluskey, Angela M.; Derner, Justin D.; Burruss, N. Dylan; Schrader, T. Scott; Yao, Jin; Pauszek, Steven J.; Lombard, Jason; Rodriguez, Luis L.",John Wiley & Sons Ltd,2020
,94,"Big Data: A Revolution That Will Transform How We Live, Work, and Think","John Walker, Saint",BLACKWELL PUBLISHERS,2014
,95,"Big Data: History, Current Status, and Challenges Going Forward","Shi, Y.",NATIONAL ACADEMY OF ENGINEERING,2014
,96,Data Envelopment Analysis and Big Data: Revisit with a Faster Method,"Khezrimotlagh, Dariush; Zhu, Joe",Kluwer Academic Publishers,2020
,97,'Big data' approaches for novel anti-cancer drug discovery,"Benstead-Hume, Graeme; Wooller, Sarah K.; Pearl, Frances M. G.",Informa Healthcare,2017
,98,Big Data: You Are Adding To ... and Using It,"Makela,  Carole J.",American Association of Family and Consumer Sciences; 1999,2016
,99,Big Data: Is It Crunch Time for Pharma?,"Upton,  Julian",ASTER PUBLISHING CORPORATION,2017
,100,"Big data: Finders keepers, losers weepers?","Sax, M.",Springer Science + Business Media,2016
,1,Big Data: Prospects and Challenges,"Moorthy,  Janakiraman; Lahiri,  Rangin; Biswas,  Neelanjan; Sanyal,  Dipyaman; Ranjan,  Jayanthi; Nanath,  Krishnadas; Ghosh,  Pulak",THE INDIAN INSTITUTE OF MANAGEMENT,2015
,2,Big Data: Will It Improve Patient-Centered Care?,"Fiebig, D. G.",ADIS/Springer,2017
,3,"""Big Tigers, Big Data"": Learning Social Reactions to China's Anticorruption Campaign through Online Feedback","Zhu, Jiangnan; Huang, Huang; Zhang, Dong",Wiley-Blackwell,2019
,4,Big Data—Based Estimation for Ship Safety Distance Distribution in Port Waters,"Zhang,  Liye; Wang,  Hua; Meng,  Qiang","Washington, DC; National Academy Press; 1998",2015
,5,„Big Data“ im Gesundheitsrecht – Ende der „Datensparsamkeit“?,"Ladeur, K. H.",Springer Science + Business Media,2016
,6,Big data: Guest editorial,unknown,IEEE,2015
,7,Big Data: Managing the Unmanageable.,"Castelluccio, Michael. ",Institute Management Accoutants,2013
,8,Big Ideas or Big Data? [President's Message],"Sayed, Ali H.",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2018
,9,'Big data' flood warning.,Editor(s),CONCORDE PUBLISHING LTD,2015
,10,Big Data: Gaining a Competitive Edge,"Worster, A.; Weirich, T. R.; Andera, F.","John Wiley & Sons, Ltd",2014
,11,Big data: the next challenge for statistics,"Ieva, F.",Springer,2015
,12,Big Data: the challenge for small research groups in the era of cancer genomics,"Noor, A. M.; Holmberg, L.; Gillett, C.; Grigoriadis, A.",Nature Publishing Group,2015
,13,Big Data from Sparse Data: Diverse Scientific Benchmarks Reveal Optimization Imperatives for Implicit Membrane Energy Functions,"Alford, Rebecca F.; Gray, Jeffrey J.","Elsevier Science B.V., Amsterdam",2020
,14,Big data: applications in interventional radiology,"Gordon, R.; Kavali, P.; Liu, R.",ELSEVIER SCIENCE B.V. AMSTERDAM,2016
,15,"Big data: a revolution that will transform how we live, work, and think","Armstrong, K.",Taylor & Francis,2014
,16,Big Data: Transforming the Design Philosophy of Future Internet,"Yin, H.; Jiang, Y.; Lin, C.; Luo, Y.; Liu, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,17,Data-Driven Mary Hammon explains how to leverage the potential of big data-in Planning Practice,unknown,APA AMERICAN PLANNING ASSOCIATION,2015
,18,Big Data Analytics in Healthcare: Data-Driven Methods for Typical Treatment Pattern Mining,"Guo, Chonghui; Chen, Jingfeng",Springer Nature,2019
,19,`Big Data': Here to Stay ... But What is it?,"Pang, L.",SOCIETY FOR COMPUTERS AND LAW,2014
,20,Big data: breaking new ground in airway research,"Greenland, K. B.; Irwin, M. G.",John Wiley & Sons Ltd,2018
,21,Big Data: from collection to visualization,"Ghesmoune, M.; Azzag, H.; Benbernou, S.; Lebbah, M.; Duong, T.; Ouziri, M.",Springer Science + Business Media,2017
,22,Data analysis in health and big data: A machine learning medical diagnosis model based on patients' complaints,"Silahtaroğlu, Gökhan; Yılmaztürk, Nevin",Taylor & Francis,2021
,23,"Big Data-Based Approach to Detect, Locate, and Enhance the Stability of an Unplanned Microgrid Islanding","Jiang,  Huaiguang; Li,  Yan; Zhang,  Yingchen; Zhang,  Jun Jason; Gao,  David Wenzhong; Muljadi,  Eduard; Gu,  Yi",AMERICAN SOCIETY OF CIVIL ENGINEERS,2017
,24,Big Data-Driven Service Composition Using Parallel Clustered Particle Swarm Optimization in Mobile Environment,"Hossain, M. S.; Moniruzzaman, M.; Muhammad, G.; Ghoneim, A.; Alamri, A.",Institute of Electrical & Electronics Engineers,2016
,25,Data Privacy and Big Data-Compliance Issues and Considerations,"Yu, W.E.",Information Systems Audit and Control Association,2014
,26,Big Data: The Connected Car shines at Mobile World Congress (and elsewhere),unknown,CHILTON CO.,2014
,27,Big Data: A Quick-Start Guide for Learning Practitioners,"Dearborn, J.",A.ST.D,2014
,28,Big Data: A Framework for Research,"Nagle, T.; Sammon, D.",IOS Press,2014
,29,Big data-driven strategic orientation in international marketing,"Akter, Shahriar; Hossain, Md Afnan; Lu, Qiang (Steven); Shams, S.M. Riad",Emerald Group Publishing Limited,2021
,30,``Big Data'' in Laboratory Medicine,"Tolan,  N. V.; Parnas,  M. L.; Baudhuin,  L. M.; Cervinski,  M. A.; Chan,  A. S.; Holmes,  D. T.; Horowitz,  G.; Klee,  E. W.; Kumar,  R. B.; Master,  S. R.",American Association for Clinical Chemistry; 1999,2015
,31,Big Data: New Tricks for Econometrics,"Varian, H.R.",AMERICAN ECONOMIC ASSOC,2014
,32,Big Data: Next-Generation Machines for Big Science,"Hack, James J.; Papka, Michael E.",IEEE,2015
,33,`Big data' in pharmaceutical science: challenges and opportunities,unknown,Future Science,2014
,34,Big data: balancing between risks and opportunities – UAE perspective,"Habbal, Firas","Inderscience Enterprises Ltd.,",2018
,35,"Big Data: A Revolution That Will Transform How We Live, Work, and Think","Dunham, Ian M.",Taylor and Francis,2015
,36,Big data: why ignorance is no longer acceptable,"Toozs-Hobson, P.; Toozs-Hobson, N.; Kelley, T.",unknown,2018
,37,Big Data-Based Driving Pattern Clustering and Evaluation in Combination with Driving Circumstances,"Si, Lulu; Hirz, Mario; Brunner, Helmut",Society of Automotive Engineers,2018
,38,Big Data: The Management Revolution,"McAfee, A.; Brynjolfsson, E.",HARVARD BUSINESS REVIEW,2012
,39,Big Data: Progress or a Big Headache?,"Dhawan, A.; Brand, J.C.; Rossi, M.J.; Lubowitz, J.H.",unknown,2018
,40,Big data-enabled large-scale group decision making for circular economy: An emerging market context,"Modgil, Sachin; Gupta, Shivam; Sivarajah, Uthayasankar; Bhushan, Bharat","Elsevier Science B.V., Amsterdam.",2021
,41,‘Big data’ for pedestrian volume: Exploring the use of Google Street View images for pedestrian counts,"Yin, Li; Cheng, Qimin; Wang, Zhenxin; Shao, Zhenfeng","Elsevier Science B.V., Amsterdam.",2015
,42,Big data: ethical issues,"Alnaji, Loay A.; Eletter, Shorouq F.; Refae, Ghaleb A. El",Inderscience,2019
,43,Big Data: Implications for Financial Managers,"Fanning, K.; Grant, R.","John Wiley & Sons, Ltd",2013
,44,Big Data: New Opportunities for M&A,"Fanning, K.; Drogt, E.","John Wiley & Sons, Ltd",2014
,45,Big Data and the Ownership in Data: Recent Developments in Europe,"Hoeren, T.",SWEET & MAXWELL/ESC PUBLISHING,2014
,46,Big Data's End Run Around Procedural Privacy Protections Recognizing the inherent limitations of consent and anonymity,"Barocas, S.; Nissenbaum, H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,47,Big Data and Bad Data: On the Sensitivity of Security Policy to Imperfect Information,"Graves,  James T.; Acquisti,  Alessandro; Christin,  Nicolas",The University of Chicago Press,2016
,48,Big Data: could it ever cure Alzheimer's disease?,"Husain, M.",Oxford University Press,2014
,49,Big data: extending the business strategy toolbox,"Woerner, Stephanie L; Wixom, Barbara H.",Palgrave Macmillan,2015
,50,Big–deep–smart data in imaging for guiding materials design,"Kalinin, S. V.; Sumpter, B. G.; Archibald, R. K.",Nature Publishing Group,2015
,51,Big Data? More Challenges!,"Qiu, Peihua",Taylor and Francis,2016
,52,Big Data—What Is It and What Use Is It?,"Atkinson, Graham",Lippincott Williams and Wilkins,2014
,53,``Big Data'' Management and Security Application to Telemetry Data Products,"Kalibjian, J.","San Diego, Calif; International Foundation for Telemetering",2014
,54,Big Data: The Next Big Thing in Innovation,"Gobble, MaryAnne M.",INDUSTRIAL RESEARCH INSTITUTE INC,2013
,55,Data Envelopment Analysis and Big Data: A Systematic Literature Review with Bibliometric Analysis,"Charles, Vincent; Gherman, Tatiana; Zhu, Joe",Kluwer Academic Publishers,2021
,56,Big Data: The Paradigm Shift Needed to Revolutionize Musculoskeletal Clinical Research,"Helfet, D.L.; Hanson, B.P.; De Faoite, D.","EXCERPTA MEDICA, INC.",2014
,57,"""big data"" in the information age","Gordo, Blanca","John Wiley & Sons, Ltd",2017
,58,Big Data-Based Optimization of a Pressure Swing Adsorption Unit for Syngas Purification: On Mapping Uncertainties from a Metaheuristic Technique,"Nogueira, Idelfonso B. R.; Martins, Márcio A. F.; Regufe, Maria João; Rodrigues, Alírio E.; Loureiro, José M.; Ribeiro, Ana M.",ACS AMERICAN CHEMICAL SOCIETY,2020
,59,Big data's role in expanding access to financial services in China,"Kshetri, Nir","Elsevier Science B.V., Amsterdam.",2016
,60,Big Data's Impact on Privacy for Librarians and Information Professionals,"Harper, L. M.; Oltmann, S. M.",John Wiley & Sons Ltd,2017
,61,Data-driven stochastic robust optimization: General computational framework and algorithm leveraging machine learning for optimization under uncertainty in the big data era,"Ning, Chao; You, Fengqi","Elsevier Science B.V., Amsterdam.",2018
,62,'BIG DATA' AND ALEXANDER VON HUMBOLDT'S APPROACH TO SCIENCE,"Grana‐Behrens, Daniel","John Wiley & Sons, Ltd",2021
,63,Big Data-enabled Customer Relationship Management: A holistic approach,"Zerbino, Pierluigi; Aloini, Davide; Dulmin, Riccardo; Mininno, Valeria","Elsevier Science B.V., Amsterdam.",2018
,64,"Big Data: The good, the bad and the ugly",Hinrich Gronemeyer,"John Wiley & Sons, Inc.",2021
,65,`Big data' looks best in 3D,unknown,REED BUSINESS PUBLISHING,2013
,66,Big data: critical questions for sport and society,"Spaaij, Ramón; Thiel, Ansgar",Taylor & Francis,2017
,67,Big Data's Big Handprint,"Harper,  Stephen; Sarni,  William",THE ENVIRONMENTAL LAW INSTITUTE,2017
,68,Big Data. Experts discuss customer data treatment,"Cuddeford-Jones, M.",CENTAUR MEDIA PLC,2013
,69,Big Data-Driven Cognitive Computing System for Optimization of Social Media Analytics,"Sangaiah, Arun Kumar; Goli, Alireza; Tirkolaee, Erfan Babaee; Ranjbar-Bourani, Mehdi; Pandey, Hari Mohan; Zhang, Weizhe",IEEE,2020
,70,``Big Data'' in the Intensive Care Unit: Closing the Data Loop,"Celi, L.A.; Mark, R.G.; Stone, D.J.; Montgomery, R.A.",American Thoracic Society; 1998,2013
,71,Big Data: A Boon to Business Intelligence,"Ohata, M.; Kumar, A.",FINANCIAL EXECUTIVES INSTITUTE,2012
,72,-Big data- from shrinking pathogen populations,"Neafsey, D. E.",Blackwell Publishing Ltd,2013
,73,Big Data: transforming drug development and health policy decision making,"Alemayehu, D.; Berger, M. L.",Springer Science + Business Media,2016
,74,Big data's dark side,unknown,Institution of Engineering and Technology,2016
,75,Big Data-Driven Abnormal Behavior Detection in Healthcare Based on Association Rules,"Zhou, Shengyao; He, Jie; Yang, Hui; Chen, Donghua; Zhang, Runtong",IEEE,2020
,76,Big Data-Driven Contextual Processing Methods for Electrical Capacitance Tomography,unknown,IEEE,2019
,77,Big data-driven scheduling optimization algorithm for Cyber–Physical Systems based on a cloud platform,"Niu, Chao; Wang, Lizhou","Elsevier Science B.V., Amsterdam.",2022
,78,Big Data: Mining for meaning How data mining is bringing order to chaos,unknown,EOLAS,2011
,79,`Big Data': A Whole Yotta Bytes,unknown,CONGRESSIONAL QUARTERLY INC,2012
,80,Big Data-What Is It and What Use Is It?,"Atkinson, G.",Lippincott Williams and Wilkins,2014
,81,`Big data' reporting guidelines,"Perry, D.C.; Parsons, N.; Costa, M.L.",British Editorial Society of Bone & Joint Surgery,2014
,82,Big Data in E&amp;P: Real-Time Adaptive Analytics and Data-Flow Architecture,"Brule, M.R.","Red Hook, NY; Curran Associates, Inc.",2013
,83,"Big Data: State-of-the-art Concepts, Techniques, Technologies, Modeling Approaches and Research Challenges","Costa,  Carlos; Santos,  Maribel Yasmina","NEWSWOOD LTD.,",2017
,84,Big Data: Large-Scale Historical Infrastructure from the Minnesota Population Center,"Sobek, M.; Cleveland, L.; Flood, S.; Hall, P.K.; King, M.L.; Ruggles, S.; Schroeder, M.",HELDREF PUBLICATIONS,2011
,85,Big Data's Big Unintended Consequences,"Wigan, M. R.; Clarke, R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,86,"""Big Data"" Dynamic Factor Models for Macroeconomic Measurement and Forecasting: A Discussion of the Papers by Lucrezia Reichlin and by Mark W. Watson","Diebold, F. X.",CAMBRIDGE UNIVERSITY PRESS,2003
,87,Big Data: Promises and Problems,"Gudivada, V. N.; Baeza-Yates, R.; Raghavan, V. V.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,88,Big Data: A Big Opportunity for Librarians,"Gordon-Murnane, L.",ONLINE INC,2012
,89,Big data—driven personal protective equipment stockpiling framework under a universal healthcare system for disease control and prevention in the COVID-19 era,"Ma, Kevin Sheng-Kai; Tsai, Alice Shin-Yi",University of Chicago Press.,2022
,90,Big data: New tend to sustainable consumption research,"Wang, Zhaohua; Xue, Mengtian; Wang, Yutao; Song, Malin; Li, Shanjun; Daziano, Ricardo A.; Wang, Bo; Ma, Guanhua; Chen, Ke; Li, Xiangtao; Zhang, Bin","Elsevier Science B.V., Amsterdam.",2019
,91,Big Data? Statistical Process Control Can Help!,"Qiu, Peihua",American Statistical Association; Taylor & Francis,2020
,92,Big Data—Hot Air or Hot Topic?,"Serrano,  Angel",Information Systems Audit and Control Association,2016
,93,Big data-driven business model innovation by traditional industries in the Chinese economy,"Cheah, Sarah; Wang, Shenghui",EMERALD GROUP PUBLISHING LTD,2017
,94,"Big Data: As utilities seek to extract value from their technology assets, smart grid and metering data is becoming a gold mine for insights about how to improve service and save money","Danigelis, A.",PUBLIC UTILITIES REPORTS INC,2012
,95,Big data-informed energy efficiency assessment of China industry sectors based on K-means clustering,"Liu, Gengyuan; Yang, Jin; Hao, Yan; Zhang, Yan","Elsevier Science B.V., Amsterdam.",2018
,96,Big data trends in stroke epidemiology in the United States: But are they good data?,"Prabhakaran,  S.",American Academy of Neurology,2018
,97,Big Data-driven personal protective equipment stockpiling framework under Universal Healthcare for Disease Control and Prevention in the COVID-19 Era,"Ma, Kevin Sheng-Kai; Tsai, Shin-Yi","Elsevier Science B. V., Amsterdam",2020
,98,Big data: the next frontier for innovation in therapeutics and healthcare,"Issa, N.T.; Byers, S.W.; Dakshanamurthy, S.",Informa Healthcare,2014
,99,"Big data: the elements of good questions, open data, and powerful software","Ho, Joshua W. K.; Giannoulatou, Eleni",SPRINGER,2019
,100,Big Data-Based Attack Scenario Reconstruction Architecture in Smart Grid,"Guo, Liang; Jin, Qianqian; Liu, Ying; Xia, Yuanyi; Hu, Han",Springer,2018
,1,JBHI Special Issue of &#x201C;Big-Data for Health&#x201D;,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,2,PWR pin-homogenized cross-sections analysis using big-data technology,"Hua, Guowei; Li, Yunzhao; Wang, Sicheng","Elsevier Science B.V., Amsterdam.",2020
,3,Predicting the pattern of technology convergence using big-data technology on large-scale triadic patents,"Lee, W. S.; Han, E. J.; Sohn, S. Y.","Elsevier Science B.V., Amsterdam.",2015
,4,"Physical education's grand convergence: Fitnessgram®, big-data and the digital commerce of children's health","Pluim, Carolyn; Gard, Michael",Taylor & Francis,2018
,5,Identifying industrial clusters with a novel big-data methodology: Are SIC codes (not) fit for purpose in the Internet age?,"Papagiannidis, Savvas; See-To, Eric W.K.; Assimakopoulos, Dimitris G.; Yang, Yang","Elsevier Science B.V., Amsterdam.",2018
,6,Deadline-Aware Scheduling and Flexible Bandwidth Allocation for Big-Data Transfers,"Srinivasan, Srinikethan Madapuzi",IEEE,2018
,7,22.4 Starting to Think About Big-Data Approaches to Clinical Detection of Early-Stage Bipolar Disorder: Evidence-Based Assessment and Statistical Learning Models,"Youngstrom, Eric; Lindheim, Oliver",Elsevier,2018
,8,GlobeLand30: Operational global land cover mapping and big-data analysis,"Chen, Jun; Chen, Jin",Springer Nature,2018
,9,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",SPRINGER-VERLAG,2014
,10,A Kernel-Based Framework for Medical Big-Data Analytics,"Windridge, D.; Bober, M.",Cham; Springer,2014
,11,Government responsiveness and public acceptance of big-data technology in urban governance: Evidence from China during the COVID-19 pandemic,"Guo, Yue; Chen, Jidong; Liu, Zhilin","Elsevier Science B.V., Amsterdam.",2022
,12,Monsanto throws its hat in the big-data ring,unknown,CXO MEDIA,2013
,13,An Out of Memory tSVD for Big-Data Factorization,"Carrillo-Cabada, Hector; Skau, Erik; Chennupati, Gopinath; Alexandrov, Boian; Djidjev, Hristo",IEEE,2020
,14,"„Wichtig ist auch der Hinweis, dass Big-Data- und vergleichbare Konzepte nicht unmittelbar greifen“",unknown,Springer Science + Business Media,2016
,15,E-commerce logistics distribution mode in big-data context: A case analysis of JD.COM,"Zheng, Kangning; Zhang, Zuopeng; Song, Bin","Elsevier Science B.V., Amsterdam.",2020
,16,Seeking Alpha from Dividend Announcements: Big-Data Insights from Joining CAR and EVA Style Analysis,Atreya Chakraborty ; James L. Grant ; Emery A. Trahan ; Bhakti Varma,Institutional Investor Inc,2021
,17,A Study on Monitoring Models for Big-Data Traffic Analysis and Utilization,Hae-Jong Joo; Moon-Taek Cho; Jong-Suk Lee,International Information Institute,2015
,18,Fast algorithm for relaxation processes in big-data systems (10 pages),"Hwang, S.; Lee, D.-S.; Kahng, B.",AMERICAN PHYSICAL SOCIETY,2014
,19,Interview mit Michael Feindt zum Thema „Präskriptive Big-Data-Analyse“,"Jarke, M.",unknown,2014
,20,Structural Health Monitoring as a Big-Data Problem,"Cremona, C.; Santos, J.","IABSE, ETH-HONGGERBERG",2018
,21,Editorial Note: HCI Systems for Big-Data Based Multimedia Applications,unknown,Springer Science + Business Media,2017
,22,A qualitative readiness-requirements assessment model for enterprise big-data infrastructure investment [9122-13],"Olama, M.M.; McNair, A.W.; Sukumar, S.R.; Nutaro, J.J.",International Society for Optical Engineering; 1999,2014
,23,Mapping collective behavior in the big-data era,"Bentley, R.A.; O Brien, M.J.; Brock, W.A.",CAMBRIDGE UNIVERSITY PRESS,2014
,24,"Symposium on insure‐tech, digitalization, and big‐data techniques in risk management and insurance","Bauer, Daniel; Tyler Leverty, James; Schmit, Joan; Sydnor, Justin",Wiley-Blackwell,2021
,25,Evolutionary Scheduling of Dynamic Multitasking Workloads for Big-Data Analytics in Elastic Cloud,"Zhang, F.; Cao, J.; Tan, W.; Khan, S. U.; Li, K.; Zomaya, A. Y.",IEEE,2014
,26,RW4 APPLICATION OF ARTIFICIAL INTELLIGENCE AND MEDICAL BIG-DATA IN REAL WORLD EVIDENCE GENERATION: A LITERATURE REVIEW OF RESEARCH PRACTICE IN CHINA,"Xiong, T.; Li, J.; Hao, Y.; Xu, J.","Elsevier Science B.V., Amsterdam",2019
,27,A Kind of Novel ITS Based on Space-Air-Ground Big-Data,"Xiong, G.; Zhu, F.; Dong, X.; Fan, H.; Hu, B.; Kong, Q.; Kang, W.; Teng, T.",IEEE Institute of Electrical & Electronics,2016
,28,Raffi Krikorian He left Uber to help the DNC regain its big-data mojo,unknown,TECHNOLOGY REVIEW,2018
,29,Quantifying Uncertainty in Internet of Medical Things and Big-Data Services Using Intelligence and Deep Learning,"Al-Turjman, Fadi",IEEE,2019
,30,A Novel on Altered K-Means Algorithm for Clustering Cost Decrease of Non-labeling Big-Data,"Jung, Se-Hoon; So, Won-Ho; You, Kang-Soo; Sim, Chun-Bo",Springer,2018
,31,"Digital conversations about suicide among teenagers and adults with epilepsy: A big‐data, machine learning analysis","Falcone, Tatiana; Dagar, Anjali; Castilla-Puentes, Ruby C.; Anand, Amit; Brethenoux, Caroline; Valleta, Liliana G.; Furey, Patrick; Timmons-Mitchell, Jane; Pestana-Knight, Elia",John Wiley & Sons Ltd,2020
,32,"Competing risk nomograms for nasopharyngeal carcinoma in the intensity-modulated radiotherapy era: A big-data, intelligence platform-based analysis","Huang, Xiao-Dan; Zhou, Guan-Qun; Lv, Jia-Wei; Zhou, Hua-Qiang; Zhong, Chen-Wen; Wu, Chen-Fei; Zheng, Zi-Qi; He, Xiao-Jun; Peng, Liang; Ma, Jun; Sun, Ying","Elsevier Science B.V., Amsterdam.",2018
,33,"Genomic Sequencing: Assessing The Health Care System, Policy, And Big-Data Implications","Phillips, K.A.; Trosman, J.R.; Kelley, R.K.; Pletcher, M.J.; Douglas, M.P.; Weldon, C.B.",PROJECT HOPE,2014
,34,Analyzing the Influencing Factors of Urban Thermal Field Intensity Using Big-Data-Based GIS,"Huanchun, Huang; Hailin, Yang; Xin, Deng; Cui, Hao; Zhifeng, Liu; Wei, Liu; Peng, Zeng",Elsevier Science,2020
,35,Stakeholder concerns of air pollution in Hong Kong and policy implications: A big-data computational text analysis approach,"Lam, Jacqueline C.K.; Cheung, Lawrence Y.L.; Wang, Shanshan; Li, Victor O.K.","Elsevier Science B.V., Amsterdam.",2019
,36,Predicting future mental illness from social media: A big-data approach,"Thorstad, Robert; Wolff, Phillip",Springer Nature,2019
,37,``Leadership in Action: How Top Hackers Behave'' A Big-Data Approach with Text-Mining and Sentiment Analysis,"Biswas, Baidyanath; Mukhopadhyay, Arunabha; Gupta, Gaurav",IEEE,2018
,38,Special issue on trends in high‐performance interconnection networks in the exascale and big‐data era,"Escudero‐Sahuquillo, Jesús; Garcia, Pedro Javier","John Wiley & Sons, Ltd",2017
,39,PMU44 - TOP 10 MOST COSTLY DISEASES IN CHINA: A BIG-DATA DATABASE ANALYSIS,"Huang, Y; Ruan, J; Yang, W; Wu, Y; Xiao, H","Elsevier Science B.V., Amsterdam",2018
,40,A novel GPU-aware Histogram-based algorithm for supporting moving object segmentation in big-data-based IoT application scenarios,"Cuzzocrea, Alfredo; Mumolo, Enzo","Elsevier Science B.V., Amsterdam.",2019
,41,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6, 377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013","Zhang, Lu-Lu; Li, Guo-Hong; Li, Yi-Yang; Qi, Zhen-Yu; Lin, Ai-Hua; Sun, Ying",Korean Cancer Association,2019
,42,Effective crude oil price forecasting using new text-based and big-data-driven model,"Wu, Binrong; Wang, Lin; Lv, Sheng-Xiang; Zeng, Yu-Rong","Elsevier Science B.V., Amsterdam.",2021
,43,CAMP: ACCURATE MODELING OF CORE AND MEMORY LOCALITY FOR PROXY GENERATION OF BIG-DATA APPLICATIONS,"Panda, Reena; Zheng, Xinnian; Gerstlauer, Andreas; John, Lizy Kurian",IEEE Computer Society,2018
,44,"Analysis commons, a team approach to discovery in a big-data environment for genetic epidemiology","Brody, J. A.; Morrison, A. C.; Bis, J. C.; O'Connell, J. R.; Brown, M. R.; Huffman, J. E.; Ames, D. C.; Carroll, A.; Conomos, M. P.; Gabriel, S.",Nature Publishing Group,2017
,45,Mining Based Time-Series Sleeping Pattern Analysis for Life Big-Data,"Kim, Joo-Chang; Chung, Kyungyong",Springer Nature,2018
,46,Proxy expenditure weights for Consumer Price Index: Audit sampling inference for big‐data statistics,"Zhang, Li‐Chun",John Wiley & Sons Ltd,2021
,47,The best ways to get business value out of big-data analysis,unknown,CXO MEDIA,2012
,48,Convergent Evolution of the Army Ant Syndrome and Congruence in Big-Data Phylogenetics,Marek L Borowiec,Society of Systematic Biologists,2019
,49,Aspirin and heart disease form focus of US big-data health initiative,unknown,Nature Publishing Group,2014
,50,Modeling for Global Management of Complex Product Subject Data Oriented at Big-Data,"Wu, D.; Yin, G.F.",TRANS TECH PUBLICATIONS,2014
,51,"Deep Thinkers For three top-tier businesses that are reaping big rewards from big-data analytics, the keys to success include a deeply rooted culture of analytics and a relentless focus on cost efficiency and process improvement",unknown,CW COMMUNICATIONS INC.,2013
,52,An efficient and forward-secure lattice-based searchable encryption scheme for the Big-data era,"Islam, SK Hafizul; Mishra, Nimish; Biswas, Souvik; Keswani, Bharat; Zeadally, Sherali","Elsevier Science B.V., Amsterdam.",2021
,53,An energy management platform for micro-grid systems using Internet of Things and Big-data technologies,Abdellatif Elmouatamid ; Youssef NaitMalek ; Mohamed Bakhouya ; Radouane Ouladsine ; Najib Elkamoun ; Khalid Zine-Dine ; Mohammed Khaidar,Institution of Mechanical Engineers,2019
,54,Introduction to the Special Issue on Online Learning for Big-Data Driven Transportation and Mobility,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2019
